Exercise Name,Type of Activity,Type of Equipment,Body Part,Type,Muscle Groups Activated,Instructions,Video Link
Foam Rolling,Stretching,Dumbbells,Lower body,Stretch,"Quadriceps, Glutes, Hamstrings","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=JB2oyawG9KI
Foam Rolling,Stretching,Resistance Band,Lower body,Pull,"Abdominals, Lower Back, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Bicep Curl,Warm-up,Barbell,Upper body,Push,"Quadriceps, Glutes, Hamstrings","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Flutter Kicks,Mobility,Resistance Band,Core,Pull,"Abdominals, Obliques","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Bicep Curl,Mobility,Dumbbells,Lower body,Push,"Hamstrings, Glutes, Lower Back","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=JB2oyawG9KI
Jump Rope,Cardio,Foam Roller,Upper body,Hold,"Hamstrings, Glutes, Lower Back","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Quad Stretch,Stretching,Dumbbells,Upper body,Pull,"Chest, Triceps, Shoulders","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Glute Bridges,Stretching,Foam Roller,Core,Hold,"Shoulders, Triceps","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=aclHkVaku9U
Front Raises,Mobility,Foam Roller,Lower body,Pull,"Lower Abdominals, Hip Flexors","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Cable Fly,Mobility,Foam Roller,Lower body,Stretch,"Hamstrings, Glutes, Lower Back","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Plank,Stretching,Kettlebell,Upper body,Push,"Biceps, Forearms","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=aclHkVaku9U
Chin-Ups,Stretching,Foam Roller,Core,Push,"Chest, Triceps, Shoulders","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Hollow Hold,Cardio,Dumbbells,Core,Stretch,"Shoulders, Triceps","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Wrist Flexor Stretch,Warm-up,Resistance Band,Core,Stretch,"Chest, Triceps, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=op9kVnSso6Q
Ankle Circles,Cardio,Dumbbells,Upper body,Push,"Abdominals, Obliques","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Sled Pull,Strength,Foam Roller,Upper body,Stretch,"Abdominals, Lower Back, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=op9kVnSso6Q
Push-Ups,Cardio,Barbell,Upper body,Push,"Hip Flexors, Glutes","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Pike Push-Up,Strength,Foam Roller,Lower body,Stretch,"Quadriceps, Glutes, Hamstrings","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
High Knees,Mobility,Bodyweight,Upper body,Stretch,"Shoulders, Triceps","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Yoga Flow,Warm-up,Foam Roller,Lower body,Hold,"Chest, Triceps, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Diamond Push-Up,Stretching,Kettlebell,Upper body,Push,"Abdominals, Obliques","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Skull Crushers,Stretching,Resistance Band,Lower body,Pull,"Chest, Triceps, Shoulders","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=JB2oyawG9KI
Sun Salutation,Stretching,Bodyweight,Lower body,Stretch,"Hamstrings, Glutes, Lower Back","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Ankle Circles,Mobility,Dumbbells,Core,Push,"Abdominals, Lower Back, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=9FGilxCbdz8
Leg Extension,Strength,Dumbbells,Lower body,Push,"Chest, Triceps, Shoulders","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Superman,Mobility,Barbell,Core,Hold,"Chest, Triceps, Shoulders","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Chest Stretch,Cardio,Bodyweight,Lower body,Push,"Shoulders, Triceps","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Face Pulls,Cardio,Foam Roller,Upper body,Stretch,"Quadriceps, Glutes, Hamstrings","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=JB2oyawG9KI
Burpees,Mobility,Bodyweight,Lower body,Hold,"Chest, Triceps, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Goblet Squat,Stretching,Bodyweight,Lower body,Push,"Lats, Biceps, Rear Delts","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=op9kVnSso6Q
Seated Calf Raise,Warm-up,Bodyweight,Upper body,Pull,"Hamstrings, Glutes, Lower Back","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Mountain Climbers,Cardio,Kettlebell,Upper body,Hold,"Abdominals, Lower Back, Shoulders","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=JB2oyawG9KI
Russian Twists,Warm-up,Kettlebell,Upper body,Pull,"Shoulders, Triceps","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Bench Press,Warm-up,Dumbbells,Lower body,Hold,"Abdominals, Obliques","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Face Pulls,Strength,Resistance Band,Upper body,Stretch,"Hamstrings, Glutes, Lower Back","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=aclHkVaku9U
Air Bike,Warm-up,Foam Roller,Core,Push,"Hamstrings, Glutes, Lower Back","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=aclHkVaku9U
Hamstring Stretch,Mobility,Foam Roller,Core,Pull,"Chest, Triceps, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Cat-Cow Stretch,Stretching,Foam Roller,Upper body,Pull,"Shoulders, Triceps","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=aclHkVaku9U
Bear Crawl,Cardio,Resistance Band,Lower body,Stretch,"Chest, Triceps, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Wrist Flexor Stretch,Stretching,Bodyweight,Core,Push,"Lats, Biceps, Rear Delts","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=JB2oyawG9KI
Child's Pose,Stretching,Kettlebell,Core,Hold,"Shoulders, Triceps","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Single-Leg Deadlift,Cardio,Dumbbells,Upper body,Hold,"Abdominals, Lower Back, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Push-Ups,Mobility,Resistance Band,Lower body,Pull,"Lats, Biceps, Rear Delts","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Good Mornings,Warm-up,Bodyweight,Core,Hold,"Hamstrings, Glutes, Lower Back","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=JB2oyawG9KI
Seated Row,Strength,Barbell,Lower body,Pull,"Quadriceps, Glutes, Hamstrings","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Hip Thrusts,Warm-up,Foam Roller,Lower body,Stretch,"Shoulders, Triceps","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Cable Curl,Warm-up,Kettlebell,Lower body,Push,"Abdominals, Lower Back, Shoulders","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Bench Press,Strength,Kettlebell,Upper body,Pull,"Abdominals, Obliques","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Single-Leg Deadlift,Warm-up,Barbell,Core,Hold,"Lats, Biceps, Rear Delts","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=JB2oyawG9KI
Step-Ups,Warm-up,Barbell,Lower body,Pull,"Shoulders, Triceps","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Cat-Cow Stretch,Cardio,Resistance Band,Upper body,Push,"Quadriceps, Glutes, Hamstrings","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Sled Pull,Strength,Kettlebell,Core,Hold,"Abdominals, Obliques","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=JB2oyawG9KI
Farmer's Walk,Strength,Kettlebell,Lower body,Stretch,"Abdominals, Lower Back, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Handstand Hold,Strength,Kettlebell,Lower body,Hold,"Abdominals, Obliques","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=9FGilxCbdz8
Reverse Crunch,Mobility,Bodyweight,Core,Hold,"Chest, Triceps, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Bicep Curl,Strength,Foam Roller,Upper body,Stretch,"Quadriceps, Glutes, Hamstrings","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Hollow Hold,Mobility,Barbell,Lower body,Hold,"Hip Flexors, Glutes","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Lunge Stretch,Cardio,Foam Roller,Lower body,Pull,"Hip Flexors, Glutes","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Handstand Hold,Cardio,Foam Roller,Core,Hold,"Hip Flexors, Glutes","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Pull-Ups,Cardio,Resistance Band,Core,Stretch,"Biceps, Forearms","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Sled Push,Warm-up,Bodyweight,Core,Stretch,"Abdominals, Lower Back, Shoulders","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Reverse Crunch,Cardio,Bodyweight,Lower body,Push,"Chest, Triceps, Shoulders","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Lateral Raises,Mobility,Dumbbells,Core,Push,"Biceps, Forearms","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Hammer Curl,Cardio,Bodyweight,Upper body,Hold,"Lower Abdominals, Hip Flexors","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=9FGilxCbdz8
Crab Walk,Strength,Kettlebell,Lower body,Hold,"Lats, Biceps, Rear Delts","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Windshield Wipers,Stretching,Bodyweight,Core,Hold,"Hip Flexors, Glutes","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Mountain Climbers,Stretching,Dumbbells,Lower body,Push,"Hip Flexors, Glutes","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Pull-Ups,Mobility,Foam Roller,Upper body,Pull,"Chest, Triceps, Shoulders","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Hip Flexor Stretch,Warm-up,Bodyweight,Lower body,Hold,"Lower Abdominals, Hip Flexors","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=op9kVnSso6Q
Tricep Extension,Strength,Barbell,Core,Stretch,"Biceps, Forearms","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Deadlifts,Cardio,Dumbbells,Upper body,Pull,"Biceps, Forearms","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Good Mornings,Stretching,Barbell,Core,Stretch,"Quadriceps, Glutes, Hamstrings","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Leg Extension,Mobility,Kettlebell,Lower body,Push,"Abdominals, Lower Back, Shoulders","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Stretching Routine,Stretching,Barbell,Upper body,Push,"Abdominals, Obliques","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Bent Over Row,Mobility,Bodyweight,Upper body,Stretch,"Abdominals, Obliques","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Seated Row,Warm-up,Barbell,Upper body,Stretch,"Hamstrings, Glutes, Lower Back","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=9FGilxCbdz8
Boxing Drills,Mobility,Barbell,Lower body,Pull,"Hamstrings, Glutes, Lower Back","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=JB2oyawG9KI
Sissy Squat,Strength,Bodyweight / Sissy Machine,Lower Body,Push,Quadriceps,Lean backward while keeping hips extended; bend knees until thighs are parallel to the floor; return to start.,https://www.youtube.com/watch?v=VUiFlZ2FsKA
Reverse Nordic Curl,Strength,Bodyweight,Lower Body,Pull,"Quadriceps, Hip Flexors","Kneel upright, lean backward slowly without bending hips, then return to upright position.",https://www.youtube.com/watch?v=GbpDfXXKuk0
Kang Squat,Mobility,Bodyweight or Light Barbell,Full Body,Hold,"Quads, Glutes, Hamstrings, Core","Start in squat, hinge hips back into good morning, then return to squat and stand up.",https://www.youtube.com/watch?v=sadQE5OHAJM
Pallof Press,Core,Resistance Band / Cable,Core,Hold,"Obliques, Transverse Abdominis","Stand sideways to resistance; extend arms out to resist rotational force; hold briefly, return.",https://www.youtube.com/watch?v=gHGLwQGvtxg
Copenhagen Plank,Core,Bench,Core/Legs,Hold,"Adductors, Obliques, Core","Top leg supported on bench, lower body down and lift using inner thigh.",https://www.youtube.com/watch?v=AtBKqjJvjlM
Zottman Curl,Strength,Dumbbells,Upper Body,Pull,"Biceps, Forearms","Curl up with palms up; rotate at the top, lower slowly palms down.",https://www.youtube.com/watch?v=ZrpRBgswtHs
Jefferson Curl,Mobility,Barbell or Dumbbell,Posterior Chain,Hold,"Hamstrings, Lower Back, Glutes",Slowly bend down segmentally through spine while holding weight; return to standing.,https://www.youtube.com/watch?v=qzZ8Y-Ln2Ww
Hack Squat (Machine),Strength,Hack Squat Machine,Lower Body,Push,"Quads, Glutes","Load machine, position shoulders/back, squat down and press up.",https://www.youtube.com/watch?v=ir5PsbniVSc
Belt Squat,Strength,Belt Squat Machine,Lower Body,Push,"Quads, Glutes","Strap belt to waist, perform squats with resistance through hips.",https://www.youtube.com/watch?v=xArpgGH9OPc
Trap Bar Squat,Strength,Trap Bar,Lower Body,Push,"Glutes, Quads, Hamstrings","Stand inside trap bar, squat down keeping chest upright, drive back up.",https://www.youtube.com/watch?v=7oLJkqX8aFE
Anderson Squat,Strength,Barbell (Rack with Pins),Lower Body,Push,"Quads, Glutes",Begin squat from bottom position with bar on pins; press up explosively.,https://www.youtube.com/watch?v=ZY94hZ72LT8
Monolift Squat,Strength,Monolift Rack,Lower Body,Push,"Glutes, Quads, Core","Step under bar in monolift rack, descend into squat, return upright.",https://www.youtube.com/watch?v=U3uUOYNWqak
Good Morning Squat Combo,Strength,Barbell,Full Body,Compound,"Hamstrings, Glutes, Quads, Core","Perform good morning on descent, transition into squat and stand up.",https://www.youtube.com/watch?v=fLfG8HGnxA4
Turkish Get-Up,Strength,Kettlebell,Full Body,Compound,"Shoulders, Core, Glutes","Hold KB overhead, move from lying to standing through controlled steps, return.",https://www.youtube.com/watch?v=0EGuKEMzKao
Hindu Squat,Mobility,Bodyweight,Lower Body,Push,"Quads, Calves, Core","From standing, swing arms as you squat onto balls of feet, then return.",https://www.youtube.com/watch?v=jPSVPO0gkUU
Jockey Squat,Cardio,Bodyweight,Lower Body,Push,"Quads, Calves","Pulse in shallow squats, rapidly switching foot positions.",https://www.youtube.com/watch?v=jDC4y2fX3ZQ
Shrimp Squat,Strength,Bodyweight,Lower Body,Push,"Quads, Glutes, Balance","Grab foot behind you, descend into single-leg squat with back leg trailing.",https://www.youtube.com/watch?v=2jMRYvGMxqY
Weighted Sled Push,Strength/Cardio,Sled + Weight,Full Body,Push,"Glutes, Quads, Core, Shoulders","Lean forward with hands on sled, push forcefully while keeping posture tight.",https://www.youtube.com/watch?v=l0yGzXIdYAk
Sled Pull,Strength,Sled + Harness,Full Body,Pull,"Hamstrings, Glutes, Back","Attach harness, pull sled walking or sprinting backward or forward.",https://www.youtube.com/watch?v=cFyoWXaBEhw
Standing Band Twist,Core,Resistance Band,Core,Twist,"Obliques, Abs","Attach band at chest height, twist torso away from anchor while keeping hips fixed.",https://www.youtube.com/watch?v=w8gB9G1DQKQ
Bulgarian Split Squat,Strength,Dumbbells / Bodyweight,Lower Body,Push,"Quads, Glutes, Hamstrings","Rear foot on bench, lower into a lunge on front leg.",https://www.youtube.com/watch?v=2C-uNgKwPLE
Cossack Squat,Mobility,Bodyweight,Lower Body,Side,"Adductors, Glutes, Quads","Wide stance, shift weight to one leg, squat while other is extended.",https://www.youtube.com/watch?v=QgQ_J_qTkxo
Box Jump,Plyometrics,Plyo Box,Lower Body,Explosive,"Glutes, Quads, Calves","Jump explosively onto box, stand tall, step down carefully.",https://www.youtube.com/watch?v=52r1Y4s3qVo
Nordic Hamstring Curl,Strength,Partner / Anchor,Lower Body,Pull,Hamstrings,"Kneeling, partner holds feet, slowly lower torso forward and pull back up.",https://www.youtube.com/watch?v=EKroFZB3PwU
Reverse Fly,Strength,Dumbbells / Bands,Upper Body,Pull,"Rear Delts, Upper Back","Bend at hips and lift weights laterally, squeezing shoulder blades.",https://www.youtube.com/watch?v=U-6djLUs2fM4
Face Pull,Strength,Cable / Band,Upper Body,Pull,"Rear Delts, Traps","Pull cable/band towards face with elbows high, squeeze shoulder blades.",https://www.youtube.com/watch?v=rep-qVOkqgk
Renegade Row,Core & Strength,Dumbbells,Full Body,Pull,"Back, Core, Shoulders","In plank, row one dumbbell, then alternate, keeping body stable.",https://www.youtube.com/watch?v=YNlW9kMHo9w
T-Push-Up,Core & Strength,Bodyweight,Upper Body,Push,"Chest, Triceps, Core","Perform push-up, then rotate into side plank, arm extended to ceiling, alternate sides.",https://www.youtube.com/watch?v=JB2oyawG9KI
Archer Push-Up,Strength,Bodyweight,Upper Body,Push,"Chest, Triceps, Shoulders","Wide push-up, shift weight to one side while extending other arm straight.",https://www.youtube.com/watch?v=DywF6cp0iEs
Hand-Release Push-Up,Strength,Bodyweight,Upper Body,Push,"Chest, Triceps","On ground, lift chest and hands off the floor each rep before pressing up.",https://www.youtube.com/watch?v=tMohrFPLNN0
Single-Leg Deadlift,Strength,Dumbbell / Kettlebell,Lower Body,Pull,"Hamstrings, Glutes, Core","Hinge forward on one leg, reaching weight toward floor while other leg extends backward.",https://www.youtube.com/watch?v=8iPNM2z3jjA
Golfer�s Carry,Core & Strength,Dumbbell / Kettlebell,Full Body,Carry,"Core, Grip, Shoulders",Farmer�s carry on one side to force anti-lateral flexion in core.,https://www.youtube.com/watch?v=v8r_qKUdhtU
Overhead Walking Lunge,Strength,Dumbbell / Kettlebell,Full Body,Lunge,"Legs, Core, Shoulders",Hold weight overhead while performing walking lunges.,https://www.youtube.com/watch?v=odf09Jks7Hc
Sumo Deadlift High Pull,Strength,Barbell / Kettlebell,Full Body,Pull,"Glutes, Quads, Shoulders, Upper Back","Wide deadlift pull explosively into high pull, finishing at chest height.",https://www.youtube.com/watch?v=4jCan_wQPgE
Dumbbell Thruster,Strength,Dumbbells,Full Body,Compound,"Quads, Glutes, Shoulders","Squat down holding DBs, stand up and press overhead in one fluid motion.",https://www.youtube.com/watch?v=ycWPtq2ieo8
Cuban Press,Strength,Dumbbells / Bands,Upper Body,Rotation,"Rotator Cuff, Rear Delts","External rotation into press: raise DBs to 90� externally, then press overhead.",https://www.youtube.com/watch?v=cIR95QP_8Zs
Jefferson Deadlift,Strength,Barbell,Full Body,Pull,"Back, Glutes, Hamstrings","Stand over bar straddling, lift with hips and legs simultaneously like a clean.",https://www.youtube.com/watch?v=3wXJ9bDtlFs
Zercher Carry,Strength Carry,Barbell,Full Body,Carry,"Core, Quads, Upper Back","Cradle bar in crooks of elbows, walk while maintaining upright torso.",https://www.youtube.com/watch?v=4DNI5ojCvwg
Sandbag Bear Hug Carry,Strength Carry,Sandbag,Full Body,Carry,"Core, Chest, Grip",Hug sandbag and walk; great for strength and conditioning.,https://www.youtube.com/watch?v=BSTkHVA1hKM
Meadows Row,Strength,Dumbbell / Landmine,Back,Pull,"Lats, Traps, Rear Delts",One-arm row with neutral grip on barbell angled into landmine base.,https://www.youtube.com/watch?v=0z0BnRi8Ul0
Banded Face Pull,Strength,Resistance Band,Upper Body,Pull,"Rear Delts, Rotator Cuff",Face pull variation using band anchored at head height.,https://www.youtube.com/watch?v=4FxpkgY8uZ4
Glute-Ham Raise,Strength,GHD Machine,Lower Body,Pull,"Hamstrings, Glutes","On GHD, secure feet, hinge at knees/hips to lower then raise torso.",https://www.youtube.com/watch?v=Z2h2bt96D4Q
Seated Good Morning,Strength,Barbell / Dumbbell,Lower Body,Hinge,"Hamstrings, Lower Back","Sit upright, hinge at hips with weight across shoulders.",https://www.youtube.com/watch?v=I4ycCO3Puyc
Wall Slide,Mobility,Wall,Upper Body,Mobility,"Shoulders, Upper Back","Stand back and press arms overhead sliding along a wall, keep back flat.",https://www.youtube.com/watch?v=jPlbOlJza8A
Scapular Pull-Up,Strength,Pull-Up Bar,Upper Body,Pull,"Lats, Scapular Muscles","Hang, then depress shoulders to lift body slightly before full pull-up.",https://www.youtube.com/watch?v=6IbLJWrcvFg
Kneeling Cable Crunch,Core,Cable Machine,Core,Crunch,Abs,"Kneel, crunch down using cable, keeping lower back neutral.",https://www.youtube.com/watch?v=V_3Z4v3qflE
Reverse Hypers,Strength,Reverse Hyper Machine,Lower Body,Extension,"Glutes, Lower Back","Lie face down, brace core, extend hips upward using posterior chain.",https://www.youtube.com/watch?v=4NjYvG-Qes0
Sissy Deadlift,Strength,Dumbbells / Bodyweight,Lower Body,Pull,"Hamstrings, Calves, Glutes","From standing, hinge at ankles (not knees), lower hips and raise heels.",https://www.youtube.com/watch?v=Q_6XkF-iJWg
Kettlebell Halo,Mobility,Kettlebell,Upper Body,Mobility,"Shoulders, Core",Rotate kettlebell around head in a controlled �halo� motion.,https://www.youtube.com/watch?v=d0QS1FXzMN0
Dragon Flag,Core,Bodyweight / Bench,Core,Hold,"Abs, Hip Flexors","Lie supine, hold bench, lower straight body to near-floor, then raise back up.",https://www.youtube.com/watch?v=vqV32tctTH8
L-Sit,Strength,Parallettes / Dip Bars,Core,Hold,"Abs, Hip Flexors, Shoulders",Lift legs held straight out in front while holding body on bars.,https://www.youtube.com/watch?v=4FjfTXxadVI
Elevated Pike Push-Up,Strength,Box or Bench,Upper Body,Push,"Shoulders, Upper Chest",Pike push-up with feet elevated while hands on floor; lean forward.,https://www.youtube.com/watch?v=BB9xTrFwL0w
Weighted Dip,Strength,Dip Bars + Weight Belt,Upper Body,Push,"Chest, Triceps, Shoulders",Perform dip with added weight via belt.,https://www.youtube.com/watch?v=xkKcChWzbKw
Ring Archer Pull-Up,Strength,Gymnastics Rings,Upper Body,Pull,"Lats, Biceps, Core","Wide ring pull-up, shifting to one arm while other extends.",https://www.youtube.com/watch?v=4oXXJJcKs2U
Skin-the-Cat,Mobility,Gymnastics Rings,Upper Body,Mobility,"Shoulders, Upper Back","Hang and rotate through rings, bringing feet toward rings then return.",https://www.youtube.com/watch?v=EFRqsuvAbFU
Deep Step-Up,Strength,Box,Lower Body,Step,"Quads, Glutes","Step with front foot on high box and drive upward, trailing leg off.",https://www.youtube.com/watch?v=3huAcvbartg
Cross-Body Hammer Curl,Strength,Dumbbell,Upper Body,Pull,"Biceps, Brachialis",Curl dumbbell across body toward opposite shoulder.,https://www.youtube.com/watch?v=zC3nLlEvin4
Reverse Plate Curls,Strength,Barbell Plate,Upper Body,Pull,"Forearms, Biceps","Hold weight plate vertically, curl using radial deviation of wrist.",https://www.youtube.com/watch?v=ieQXq0_BhDI
Stir-the-Pot,Core,Stability Ball,Core,Hold/Hip,"Abs, Obliques","In plank with forearms on ball, create circles (�stir�) with one forearm, then reverse.",https://www.youtube.com/watch?v=YVu5jOAqYmw
Windmill,Mobility/Strength,Dumbbell / Kettlebell,Lower/Upper Body,Hold,"Obliques, Glutes, Shoulders","Feet wide, hinge at hips, lift one arm overhead, lean to side, return.",https://www.youtube.com/watch?v=WdA4Hcf_BfQ
Kettlebell Snatch,Strength,Kettlebell,Full Body,Pull,"Shoulders, Back, Hips, Core",Swing kettlebell between legs to overhead in one explosive motion.,https://www.youtube.com/watch?v=qnSfGME44Ls
Turkish Sit-Up,Strength,Kettlebell,Core,Compound,"Core, Shoulders, Hips",Similar to get-up but ending in sit-up; control KB overhead while sitting up.,https://www.youtube.com/watch?v=K0cWDE_hJvU
Lunge with Twist,Mobility/Core,Medicine Ball / Bodyweight,Lower/Upper Body,Lunge,"Quads, Glutes, Obliques","Lunge forward, twist torso and ball toward lunging side, return and switch.",https://www.youtube.com/watch?v=QxJcwXHXVC8
Weighted Nordic Ham Curl,Strength,Weight Plate + Anchor,Lower Body,Pull,Hamstrings,Same as Nordic curl with a plate across chest for added resistance.,https://www.youtube.com/watch?v=j9QCnKD7Kes
Archer Row,Strength,Dumbbell / Bodyweight,Upper Body,Pull,"Lats, Biceps","One-arm row while opposite arm straight out to the side, alternating sides.",https://www.youtube.com/watch?v=889uL7Z5nXA
