Exercise Name,Type of Activity,Type of Equipment,Body Part,Type,Muscle Groups Activated,Instructions,Video Link
Bicep Curl,Mobility,Dumbbells,Lower body,Push,"Hamstrings, Glutes, Lower Back","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=JB2oyawG9KI
Jump Rope,Cardio,Foam Roller,Upper body,Hold,"Hamstrings, Glutes, Lower Back","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Quad Stretch,Stretching,Dumbbells,Upper body,Pull,"Chest, Triceps, Shoulders","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Glute Bridges,Stretching,Foam Roller,Core,Hold,"Shoulders, Triceps","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=aclHkVaku9U
Front Raises,Mobility,Foam Roller,Lower body,Pull,"Lower Abdominals, Hip Flexors","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Cable Fly,Mobility,Foam Roller,Lower body,Stretch,"Hamstrings, Glutes, Lower Back","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Plank,Stretching,Kettlebell,Upper body,Push,"Biceps, Forearms","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=aclHkVaku9U
Chin-Ups,Stretching,Foam Roller,Core,Push,"Chest, Triceps, Shoulders","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Hollow Hold,Cardio,Dumbbells,Core,Stretch,"Shoulders, Triceps","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Wrist Flexor Stretch,Warm-up,Resistance Band,Core,Stretch,"Chest, Triceps, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=op9kVnSso6Q
Ankle Circles,Cardio,Dumbbells,Upper body,Push,"Abdominals, Obliques","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Sled Pull,Strength,Foam Roller,Upper body,Stretch,"Abdominals, Lower Back, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=op9kVnSso6Q
Push-Ups,Cardio,Barbell,Upper body,Push,"Hip Flexors, Glutes","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Pike Push-Up,Strength,Foam Roller,Lower body,Stretch,"Quadriceps, Glutes, Hamstrings","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
High Knees,Mobility,Bodyweight,Upper body,Stretch,"Shoulders, Triceps","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Yoga Flow,Warm-up,Foam Roller,Lower body,Hold,"Chest, Triceps, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Diamond Push-Up,Stretching,Kettlebell,Upper body,Push,"Abdominals, Obliques","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Skull Crushers,Stretching,Resistance Band,Lower body,Pull,"Chest, Triceps, Shoulders","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=JB2oyawG9KI
Sun Salutation,Stretching,Bodyweight,Lower body,Stretch,"Hamstrings, Glutes, Lower Back","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Ankle Circles,Mobility,Dumbbells,Core,Push,"Abdominals, Lower Back, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=9FGilxCbdz8
Leg Extension,Strength,Dumbbells,Lower body,Push,"Chest, Triceps, Shoulders","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Superman,Mobility,Barbell,Core,Hold,"Chest, Triceps, Shoulders","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Chest Stretch,Cardio,Bodyweight,Lower body,Push,"Shoulders, Triceps","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Face Pulls,Cardio,Foam Roller,Upper body,Stretch,"Quadriceps, Glutes, Hamstrings","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=JB2oyawG9KI
Burpees,Mobility,Bodyweight,Lower body,Hold,"Chest, Triceps, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Goblet Squat,Stretching,Bodyweight,Lower body,Push,"Lats, Biceps, Rear Delts","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=op9kVnSso6Q
Seated Calf Raise,Warm-up,Bodyweight,Upper body,Pull,"Hamstrings, Glutes, Lower Back","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Mountain Climbers,Cardio,Kettlebell,Upper body,Hold,"Abdominals, Lower Back, Shoulders","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=JB2oyawG9KI
Russian Twists,Warm-up,Kettlebell,Upper body,Pull,"Shoulders, Triceps","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Bench Press,Warm-up,Dumbbells,Lower body,Hold,"Abdominals, Obliques","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Face Pulls,Strength,Resistance Band,Upper body,Stretch,"Hamstrings, Glutes, Lower Back","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=aclHkVaku9U
Air Bike,Warm-up,Foam Roller,Core,Push,"Hamstrings, Glutes, Lower Back","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=aclHkVaku9U
Hamstring Stretch,Mobility,Foam Roller,Core,Pull,"Chest, Triceps, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Cat-Cow Stretch,Stretching,Foam Roller,Upper body,Pull,"Shoulders, Triceps","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=aclHkVaku9U
Bear Crawl,Cardio,Resistance Band,Lower body,Stretch,"Chest, Triceps, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Wrist Flexor Stretch,Stretching,Bodyweight,Core,Push,"Lats, Biceps, Rear Delts","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=JB2oyawG9KI
Child's Pose,Stretching,Kettlebell,Core,Hold,"Shoulders, Triceps","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Single-Leg Deadlift,Cardio,Dumbbells,Upper body,Hold,"Abdominals, Lower Back, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Push-Ups,Mobility,Resistance Band,Lower body,Pull,"Lats, Biceps, Rear Delts","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Good Mornings,Warm-up,Bodyweight,Core,Hold,"Hamstrings, Glutes, Lower Back","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=JB2oyawG9KI
Seated Row,Strength,Barbell,Lower body,Pull,"Quadriceps, Glutes, Hamstrings","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Hip Thrusts,Warm-up,Foam Roller,Lower body,Stretch,"Shoulders, Triceps","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Cable Curl,Warm-up,Kettlebell,Lower body,Push,"Abdominals, Lower Back, Shoulders","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Bench Press,Strength,Kettlebell,Upper body,Pull,"Abdominals, Obliques","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Single-Leg Deadlift,Warm-up,Barbell,Core,Hold,"Lats, Biceps, Rear Delts","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=JB2oyawG9KI
Step-Ups,Warm-up,Barbell,Lower body,Pull,"Shoulders, Triceps","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Cat-Cow Stretch,Cardio,Resistance Band,Upper body,Push,"Quadriceps, Glutes, Hamstrings","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Sled Pull,Strength,Kettlebell,Core,Hold,"Abdominals, Obliques","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=JB2oyawG9KI
Farmer's Walk,Strength,Kettlebell,Lower body,Stretch,"Abdominals, Lower Back, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Handstand Hold,Strength,Kettlebell,Lower body,Hold,"Abdominals, Obliques","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=9FGilxCbdz8
Reverse Crunch,Mobility,Bodyweight,Core,Hold,"Chest, Triceps, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Bicep Curl,Strength,Foam Roller,Upper body,Stretch,"Quadriceps, Glutes, Hamstrings","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Hollow Hold,Mobility,Barbell,Lower body,Hold,"Hip Flexors, Glutes","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Lunge Stretch,Cardio,Foam Roller,Lower body,Pull,"Hip Flexors, Glutes","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Handstand Hold,Cardio,Foam Roller,Core,Hold,"Hip Flexors, Glutes","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Pull-Ups,Cardio,Resistance Band,Core,Stretch,"Biceps, Forearms","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Sled Push,Warm-up,Bodyweight,Core,Stretch,"Abdominals, Lower Back, Shoulders","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Reverse Crunch,Cardio,Bodyweight,Lower body,Push,"Chest, Triceps, Shoulders","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Lateral Raises,Mobility,Dumbbells,Core,Push,"Biceps, Forearms","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Hammer Curl,Cardio,Bodyweight,Upper body,Hold,"Lower Abdominals, Hip Flexors","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=9FGilxCbdz8
Crab Walk,Strength,Kettlebell,Lower body,Hold,"Lats, Biceps, Rear Delts","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Windshield Wipers,Stretching,Bodyweight,Core,Hold,"Hip Flexors, Glutes","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Mountain Climbers,Stretching,Dumbbells,Lower body,Push,"Hip Flexors, Glutes","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Pull-Ups,Mobility,Foam Roller,Upper body,Pull,"Chest, Triceps, Shoulders","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Hip Flexor Stretch,Warm-up,Bodyweight,Lower body,Hold,"Lower Abdominals, Hip Flexors","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=op9kVnSso6Q
Tricep Extension,Strength,Barbell,Core,Stretch,"Biceps, Forearms","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Deadlifts,Cardio,Dumbbells,Upper body,Pull,"Biceps, Forearms","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Good Mornings,Stretching,Barbell,Core,Stretch,"Quadriceps, Glutes, Hamstrings","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Leg Extension,Mobility,Kettlebell,Lower body,Push,"Abdominals, Lower Back, Shoulders","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Stretching Routine,Stretching,Barbell,Upper body,Push,"Abdominals, Obliques","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Bent Over Row,Mobility,Bodyweight,Upper body,Stretch,"Abdominals, Obliques","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Seated Row,Warm-up,Barbell,Upper body,Stretch,"Hamstrings, Glutes, Lower Back","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=9FGilxCbdz8
Boxing Drills,Mobility,Barbell,Lower body,Pull,"Hamstrings, Glutes, Lower Back","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=JB2oyawG9KI
